parameter,value,repetition,seed,n_jobs,m_machines,budget_multiplier,ceiling_runtime,ceiling_nodes,ceiling_pruned_bound,ceiling_pruning_rate,ceiling_makespan,ceiling_status,ceiling_leaf_timeout,ceiling_leaf_nodes,maxlpt_runtime,maxlpt_nodes,maxlpt_pruned_bound,maxlpt_pruning_rate,maxlpt_makespan,maxlpt_status,maxlpt_leaf_timeout,maxlpt_leaf_nodes,match_makespan,node_reduction_pct,speedup
machines,27,1,270001,8,27,2.0,0.007002592086791992,0,0,0.0,18.0,success,False,0,0.015001773834228516,0,0,0.0,18.0,success,False,0,True,,
machines,27,2,270002,8,27,2.0,0.00700068473815918,0,0,0.0,20.0,success,False,0,0.015001535415649414,0,0,0.0,20.0,success,False,0,True,,
machines,27,3,270003,8,27,2.0,0.02400350570678711,0,0,0.0,30.0,success,False,0,0.029003620147705078,0,0,0.0,30.0,success,False,0,True,,
machines,27,4,270004,8,27,2.0,0.02100348472595215,0,0,0.0,32.0,success,False,0,0.03000330924987793,0,0,0.0,32.0,success,False,0,True,,
machines,28,0,280000,8,28,2.0,0.032003164291381836,0,0,0.0,33.0,success,False,0,0.04000449180603027,0,0,0.0,33.0,success,False,0,True,,
machines,28,1,280001,8,28,2.0,0.01800227165222168,0,0,0.0,36.0,success,False,0,0.026002168655395508,0,0,0.0,36.0,success,False,0,True,,
machines,28,2,280002,8,28,2.0,0.007001638412475586,0,0,0.0,19.0,success,False,0,0.015001535415649414,0,0,0.0,19.0,success,False,0,True,,
machines,28,3,280003,8,28,2.0,0.023003339767456055,0,0,0.0,36.0,success,False,0,0.024002552032470703,0,0,0.0,36.0,success,False,0,True,,
machines,28,4,280004,8,28,2.0,0.01900315284729004,0,0,0.0,30.0,success,False,0,0.02800273895263672,0,0,0.0,30.0,success,False,0,True,,
machines,29,0,290000,8,29,2.0,0.03400468826293945,0,0,0.0,45.0,success,False,0,0.0460057258605957,0,0,0.0,45.0,success,False,0,True,,
machines,29,1,290001,8,29,2.0,0.025005340576171875,0,0,0.0,32.0,success,False,0,0.03200221061706543,0,0,0.0,32.0,success,False,0,True,,
